delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_time_hours,customer_id_x,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,complaint_id,customer_id_y,complaint_type,channel,complaint_severity,created_at,status,resolution_days,compensation_amount,has_complaint,incident_id,incident_type,reported_at,incident_severity,resolution_status,resolved_hours,has_incident,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,Failed,17.26,1,0,3.07,12.05,22.149973419722222,C0567,Business,2024-06-18 09:48:00,6,Central,CENTRAL,Medium,151.14,Web,0,,,,,,,,,,False,I0180,ProofMissing,2024-06-18 11:38:00,High,Open,5.6,True,Airport,PartTime,13,88.9,4.75,Morning,1,EV,CENTRAL,2024-06-09 16:18:00,78.4,29849,Active,v2.2
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1,0,5.0,13.41,,C0520,Parcel,2025-01-11 17:15:00,2,RiverSide,North,Medium,10.04,App,1,,,,,,,,,,False,,,,,,,False,Ctr,PartTime,11,69.2,4.61,Evening,1,Diesel,AIRPORT,2025-09-17 08:52:00,68.6,78468,Active,v2.2
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,OnTime,7.92,0,0,4.98,8.51,1.1089907694444445,C0480,Medical,2025-06-02 19:12:00,2,CENTRAL,NORTH,Medium,141.93,Web,0,,,,,,,,,,False,,,,,,,False,CENTRAL,FullTime,8,78.8,4.38,Flexible,1,Diesel,East,2025-12-09 16:47:00,55.9,15278,Active,v2.2
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,Delayed,16.42,0,0,4.18,13.62,23.985584361666664,C0616,Medical,2024-03-08 20:58:00,24,SOUTH,north,Low,11.11,App,0,,,,,,,,,,False,,,,,,,False,CENTRAL,FullTime,4,58.2,4.19,Morning,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,OnTime,14.52,1,0,4.18,9.22,4.042814182222222,C0276,Medical,2025-09-21 09:29:00,6,RiverSide,RiverSide,High,76.02,App,0,,,,,,,,,,False,,,,,,,False,South,FullTime,10,70.6,4.33,Morning,1,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0,0,1.57,9.58,28.531218019166666,C0366,Medical,2024-09-11 12:22:00,24,EAST,Ctr,Medium,190.94,Web,0,,,,,,,,,,False,,,,,,,False,north,PartTime,7,63.9,4.67,Morning,1,Diesel,WEST,2025-12-29 15:01:00,69.7,73011,Active,v2.1
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,Delayed,32.72,0,0,4.64,17.7,33.969742458333336,C0303,Parcel,2024-01-09 11:58:00,24,Airport,Airport,Medium,72.64,App,1,,,,,,,,,,False,,,,,,,False,East,FullTime,2,71.3,4.69,Flexible,1,CargoVan,South,2025-06-13 23:43:00,56.6,52146,InRepair,v1.9
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,OnTime,7.16,1,0,3.76,11.66,1.8059808783333333,C0023,Business,2024-08-22 19:33:00,6,Ctr,RiverSide,Medium,80.33,App,0,,,,,,,,,,False,,,,,,,False,WEST,PartTime,14,74.1,4.63,Evening,1,Hybrid,NORTH,2024-04-10 18:00:00,77.7,98535,Scheduled,v2.2
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,OnTime,40.23,1,0,3.7,15.78,3.7646314688888887,C0560,Passenger,2024-04-12 20:51:00,6,Airport,RiverSide,Low,151.53,Web,0,,,,,,,,,,False,I0043,AppSyncError,2024-04-12 22:42:00,Low,Open,20.1,True,Riverside,Contract,4,84.3,4.17,Morning,1,EV,north,2024-12-04 10:53:00,76.7853448275862,130270,Active,v2.0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,OnTime,40.23,1,0,3.7,15.78,3.7646314688888887,C0560,Passenger,2024-04-12 20:51:00,6,Airport,RiverSide,Low,151.53,Web,0,,,,,,,,,,False,I0170,BatteryAlert,2024-04-12 22:24:00,Medium,Closed,7.4,True,Riverside,Contract,4,84.3,4.17,Morning,1,EV,north,2024-12-04 10:53:00,76.7853448275862,130270,Active,v2.0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,Failed,9.85,1,0,3.2,9.31,6.1080976275,C0186,Passenger,2025-09-22 16:20:00,6,SOUTH,north,Low,45.9,App,1,CP0055,C0186,MissedPickup,Chatbot,High,2025-09-23 16:20:00,Resolved,14.0,60.3,True,,,,,,,False,AIRPORT,FullTime,9,82.7,4.27,Flexible,1,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0
